가수,앨범,제목,발매년도,작사가,가사,
방탄소년단,MAP OF THE SOUL : PERSONA,Jamais Vu,2019,"Marcus McCoan,Owen Roberts,Matty Thomson,Max Lynedoch Graham,Camilla Anne Stewart,RM,j-hope,'Hitman' Bang","또 져버린 것 같아 넌 화가 나 보여 아른대는 Game over over over 만약 게임이라면 또 load하면 되겠지만 I guess I gotta deal with this, deal with this Real world 차라리 게임이면 좋겠지 너무 아프니까 I need to heal my medic But I’m another star 완벽하지 못했던 나를 탓해 Brake in my head, brake in my step, always 그저 잘하고 싶었고 웃게 해주고 싶었는데.. damn Please give me a remedy 멈춰버린 심장을 뛰게 할 remedy 이제 어떻게 해야 해 날 살려줘 다시 기회를 줘 Please give me a A remedy, a melody 오직 내게만 남겨질 그 memory 이쯤에서 그만하면 꺼버리면 모든 게 다 편해질까 괜찮지만 괜찮지 않아 익숙하다고 혼잣말했지만 늘 처음인 것처럼 아파 부족한 gamer, 맞아 날 control 못하지 계속 아파 ‘Cause 시행착오와 오만 가지 내 노래 가사, 몸짓 하나 말 한마디 다 내 미시감에 무서워지고 또 늘 도망가려 해 But 잡네, 그래도 네가 내 그림자는 커져가도 내 삶과 넌 equal sign So 내 remedy는 your remedy Please give me a remedy 멈춰버린 심장을 뛰게 할 remedy 이제 어떻게 해야 해 날 살려줘 다시 기회를 줘 Please give me a (Remedy) 또 다시 뛰고, 또 넘어지고 (Honestly) 수없이 반복된대도 난 또 뛸 거라고 So give me a remedy 멈춰버린 심장을 뛰게 할 remedy 이제 어떻게 해야 해 날 살려줘 다시 기회를 줘 Please give me a remedy (성공인가. 돌아왔어) 멈춰버린 심장을 뛰게 할 remedy (집중해서 꼭 네게 닿고 말겠어. 떨어지고, 넘어지고) 이제 어떻게 해야 해 (익숙한 아픔이 똑같이 날 덮쳐) 날 살려줘 (이번에도 쉽지 않아) 다시 기회를 줘 (관둘 거냐고? No, no never) I won’t give up",
방탄소년단,MAP OF THE SOUL : PERSONA,Dionysus,2019,"PDOGG,j-hope,Supreme Boi,RM,SUGA,Roman Campolo","쭉 들이켜 술잔 (sippin’) 팔짱 (tippin’) 한 입 티르소스 (grippin’) 포도 (eatin’) 쭉 들이켜 분위기 (keep it) D style (rip it) 한 입 여기 (kill it) let’s steal it The illest 그냥 취해 마치 디오니소스 한 손에 술잔, 다른 손에 든 티르소스 투명한 크리스탈 잔 속 찰랑이는 예술 예술도 술이지 뭐, 마시면 취해 fool You dunno you dunno you dunno what to do with 내가 보여줄게 난 전혀 다른 걸 추진 아이비와 거친 나무로 된 mic 절대 단 한 숨에 나오는 소리 따윈 없다 해가 뜰 때까지 where the party at 잠이 들 때까지 where the party at Sing it 불러 다시 Drink it 마셔 다시 우린 두 번 태어나지 쭉 들이켜 (창작의 고통) 한 입 (시대의 호통) 쭉 들이켜 (나와의 소통) 한 입 (Okay now I’m ready fo sho) 다 마셔 마셔 마셔 마셔 내 술잔 ay 다 빠져 빠져 빠져 미친 예술가에 한 잔 (one shot) 두 잔 (two shots) 예술에 취해 불러 옹헤야 다 마셔 마셔 마셔 마셔 내 술잔 ay 다 빠져 빠져 빠져 미친 예술가에 한 잔 (one shot) 두 잔 (two shots) 꽹과리 치며 불러 옹헤야 술잔 (sippin’), 팔짱 (tippin’) 티르소스 (grippin’), 포도 (eatin’) 분위기 (keep it), D style (rip it) 여기 (kill it) let’s steal it The illest 난 지금 세상의 문 앞에 있어 무대에 오를 때 들리는 환호성 Can't you see my stacked broken thyrsus 이제 난 다시 태어나네 비로소 When the night comes mumble mumble mumble When the night comes tumble tumble tumble Studio를 채운 저음 저음 저음 Bass drum goes like 덤덤덤 해가 뜰 때까지 where the party at 잠이 들 때까지 where the party at Sing it 불러 다시 Drink it 마셔 다시 우린 두 번 태어나지 쭉 들이켜 (창작의 고통) 한 입 (시대의 호통) 쭉 들이켜 (나와의 소통) 한 입 (Okay now I’m ready fo sho) 다 마셔 마셔 마셔 마셔 내 술잔 ay 다 빠져 빠져 빠져 미친 예술가에 한 잔 (one shot) 두 잔 (two shots) 예술에 취해 불러 옹헤야 다 마셔 마셔 마셔 마셔 내 술잔 ay 다 빠져 빠져 빠져 미친 예술가에 한 잔 (one shot) 두 잔 (two shots) 꽹과리 치며 불러 옹헤야 우리가 떴다 하면 전세계 어디든지 stadium party ay Kpop 아이돌로 태어나 다시 환생한 artist 다시 환생한 artist 다시 환생한 artist 내가 아이돌이든 예술가이든 뭐가 중요해 짠해 예술도 이 정도면 과음이지 과음 yeah 새 기록은 자신과 싸움이지 싸움 yeah 축배를 들어올리고 one shot 허나 난 여전히 목말라 What 다 마셔 마셔 마셔 마셔 내 술잔 ay 다 빠져 빠져 빠져 미친 예술가에 한 잔 (one shot) 두 잔 (two shots) 예술에 취해 불러 옹헤야 다 마셔 마셔 마셔 마셔 내 술잔 ay 다 빠져 빠져 빠져 미친 예술가에 한 잔 (one shot) 두 잔 (two shots) 꽹과리 치며 불러 옹헤야 술잔 (sippin’), 팔짱 (tippin’) 티르소스 (grippin’), 포도 (eatin’) 분위기 (keep it), D style (rip it) 여기 (kill it) let’s steal it The illest 술잔 (sippin’), 팔짱 (tippin’) 티르소스 (grippin’), 포도 (eatin’) 분위기 (keep it), D style (rip it) 여기 (kill it) let’s steal it The illest",
방탄소년단 & Charli XCX,Dream Glow (BTS WORLD OST Part.1),Dream Glow (BTS WORLD OST Part.1),2019,"Tor Hermansen,Mikkel Errikson,Charli XCX,Ryn Weaver,정바비",I spend my whole life following the night time Can't see the stop sign what you gonna say (Hey) Wandering quietly right into my dreams It's all that I see what you gonna say (Hey) Always feeling something bigger something real wild Keep on shining make it brighter than a spotlight (Hey hey) Sometimes I stop and stare Follow my dreams right there Dream glow (Hey hey) Sometimes my dreams come true Sometimes they turn to blue Dream glow (Hey hey) 키우기 쉽단 착한 소년들이 감추곤 했던 까진 무르팍 (Hey) 내 별자리는 태양의 파편 찬란한 암전 그림자의 춤 (Hey) 심장 속에 식지 않는 빛을 느껴 제껴본 적 없는 상대한텐 못 져 (Hey hey) 눈부셨던 미래 에 에 에 잠시만 멈춘 채 에 에 Will glow (Hey hey) 내 꿈은 여기 Stay 에 에 에 나 포기 안 할게 에 에 You'll glow (Hey hey) 까만 새벽 떨리는 날개를 펼쳐 Keep on shining make it brighter than a spotlight (Hey hey) Sometimes I stop and stare Follow my dreams right there Dream glow (Hey hey) 내 꿈은 여기 Stay 에 에 에 나 포기 안 할게 에 에 Dream glow (Hey hey) You'll glow (Hey hey) You'll glow (Hey hey),
방탄소년단 & Zara Larsson,A Brand New Day (BTS WORLD OST Part.2),A Brand New Day (BTS WORLD OST Part.2),2019,"Alexander George Edward Crossan,Scott Quinn,Max Wolfgang,Zara Larsson,윤기타,j-hope","무서움과 두려움 다 헤쳐 나아 갈 수 있을까? 최면에 취한 듯 나를 잡아당겨 이끌었어 무언가에 홀린 듯 내 안의 목소리를 듣게 됐어 닿지 않아도 선명한 미래의 파편 새로운 세계 꿈의 문장이 날 감싸 나를 찾은 날에 (A brand new day) 빛의 계단을 올라가 꿈을 꾸던 순간 (We know the world) 세상에 날 보여줘 Oh I can be there yeah I’ll be there be there for you I know you got them big dreams too You can show me yours if you want to They’re beautiful We can look at them for hours Surrender to their power I see new worlds these visions they burn inside of me Just out of touch but still close enough to be part of me I’ll be there when the day comes (A brand new day) Head up in that sunlight baby I’ll be there when the day comes (We know the world) Show the world just who I can be 나 무서워도 안 숙였어 나 두려워도 그냥 달렸어 나는 날 믿었기에 핍박 기로에도 Going ma way 나다운 선택 (I heard) 커지는 목소리 기쁨의 숨소리 순간 느꼈어, 난 꿈을 이룰 거란 걸 I’ll be there when the day comes (A brand new day) Head up in that sunlight baby I’ll be there when the day comes (We know the world) Show the world just who I can be 무서움과 두려움 다 헤쳐 나아 갈 수 있을까? 무서움과 두려움 다 헤쳐 나아 갈 수 있을까?",
방탄소년단 & Juice WRLD,All Night (BTS WORLD OST Part.3),All Night (BTS WORLD OST Part.3),2019,"Powers Pleasant,Marric Antonio Strobert,RM,SUGA,Juice WRLD","I kick out the door yeah I kick out the door Go grab the mic and I let out the sore This my fanmail wanna give out my heart This an archive I just record the flow Come to my studio, magic happens Two step chillin’ this feels classic Ain’t no job with no stress, no pressin So baby let’s go seatbelts are fastened 반딧불 같은 flashin’ lights 우릴 스쳐가는 flashin’ nights 꼭 아파야 해 그냥은 안 돼 시간이 지나면 웃겠지만 뭔가 보일 때까지 일단 걍 달려 괜찮아 내 수고는 내가 알어 We keep ridin The whole night Hol’ on tight We keep all the party in this room all night We don’t wanna put it on the brake, hold tight 해 뜰 때까지 더 계속해 all night 영감아 기다려 널 잡을게 all mine All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night I still have a Dream 여전히 작업실 지나가는 사람에게 물어봐 1타 가수 누군지 코 앞이잖아 그래미 This is for Real TV 나와 하는 돈 자랑들은 이젠 그냥 귀엽지 가끔씩 이 모든 게 꿈은 아닌가 싶어 해가 뜨기 전 어둠은 꽤나 짙어 때론 네가 걷던 길 위엔 시기와 시비가 앞서 걷던 사람들의 발자국 보다 훨씬 더 많을 수 있다는 사실만 넌 알아둬 이제 선택은 네 몫이야 what you gonna do? Aye she calls me charming need an army Marching for your love I’m a sergeant I'm not from this planet a martian For you I go the hardest Can’t stop when you get me started You gonna make me park the Ashton Martin Tints on the windows I don't do no talking Oh girl I told you from the go I need you to stay with me loyally and faithfully Ever so gracefully touching my soul I know that you pray for me Trying to make a way for me Girl you know I'm a always hold you close Never let go nope you Never let go uh ug of you All or nothing for ya love I'm a risk it all If it's not your name coming up on my phone I won't pick up the call Not at all Love the way you take it off On my rocket you taking off Yeah we den got love involved love involved We keep all the party in this room all night We don’t wanna put it on the brake, hold tight 해 뜰 때까지 더 계속해 all night 영감아 기다려 널 잡을게 all mine We keep all the party in this room all night We don’t wanna put it on the brake, hold tight 해 뜰 때까지 더 계속해 all night 영감아 기다려 널 잡을게 all mine All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night All Night",
방탄소년단,BTS WORLD OST,Heartbeat,2019,"Jordan 'DJ Swivel' Young,Coyle Girelli,Supreme Boi,'Hitman' Bang,RM,j-hope,이현",It leaves me feeling seasick baby 꿈같은 현실 깊이 갇혔나 봐 It spins me round and drives me crazy 한낮에 뜬 달 같은 나인가 봐 만약 나 혼자였다면 혹시 널 몰랐다면 포기했을지 몰라 lost at sea But my heart's still on fire with a burning desire 다시 널 찾을 거야 운명처럼 I wish that you would love me 어제처럼 다시 이 손 놓지 말고 And every time my heart beats 발 맞춰봐 다시 더는 헤매이지 않도록 운명을 느껴 널 널 운명을 느껴 날 날 When you hear my heartbeat baby You gave me a new life you gave me a new birth I feel you're heartbeat away I been losin my mind I been cravin my shine I know me before you was a ready-made me But you designate me and you did resume me Been calling your name in this whole universe (Now I need no space) I got youniverse 널 만난 건 이 우주가 빚어낸 한편의 드라마 같아 수많았던 헤매임 끝이 보이지가 않던 방황 그 미로 속에서 나를 이끌어준 너 너는 나의 빛이자 나의 구원 이 비도 그쳐가네 이젠 네 손을 놓지 않을래 I wish that you would love me 어제처럼 다시 이 손 놓지 말고 And every time my heart beats 발 맞춰봐 다시 더는 헤매이지 않도록 운명을 느껴 널 널 운명을 느껴 날 날 운명을 느껴 널 널 운명을 느껴 날 날 My heart’s on fire for your love Oh my heart’s on fire for your love I wish that you would love me 어제처럼 다시 이 손 놓지 말고 And every time my heart beats 발 맞춰봐 다시 더는 헤매이지 않도록 운명을 느껴 널 널 운명을 느껴 날 날 운명을 느껴 널 널 운명을 느껴 날 날,
옥상달빛,BTS WORLD OST,라라라 (Digital Only),2019,"강민국,정지찬",혹시 말했던가 내 맘을 나도 모를 때 많이 든든했어 말없이 기댄 널 보면 우리가 함께한 시간들이 얼만데 말하지 않아도 니 맘 알아 눈빛만 봐도 니 맘이 내게 들려 너를 보면 콧노래가 나서 라라라라라 좋아질 거야 혹시 기억나니 내일이 막막 했을 때 니가 말해줬지 함께라면 할 수 있다고 언젠가 사람들이 니 맘을 몰라도 말하지 않아도 니 맘 알아 눈빛만 봐도 니 맘이 내게 들려 너를 보면 콧노래가 나서 라라라라라 좋아질 거야 Oh better day with you 스쳐가는 시간 속에 우리 걱정하고 의심하기 하지 말자 말하지 않아도 니 맘 알아 눈빛만 봐도 니 맘이 내게 들려 너를 보면 콧노래가 나서 라라라라라 좋아질 거야 좋아질 거야 좋아질 거야,
이현,BTS WORLD OST,니가 있어 (Digital Only),2019,"강민국,정지찬",작은 꿈을 꾸는 소년이었을 때 세상은 커다란 거인과 같았어 무엇을 원하고 어디로 가는지 고민했던 날들을 보냈어 난 니가 있어 내겐 니가 있어 어둔 새벽 빛이 되어 고마워 내 뒤에 항상 니가 있다는 믿음 항상 곁에 니가 있어 고마워 알 수 없는 무게에 지쳐갔을 때 나에게 무엇보다 도움이 됐던 건 누구보다 가까운 우리들 얘기에 그저 웃어보는 시간 난 니가 있어 내겐 니가 있어 어둔 새벽 빛이 되어 고마워 내 뒤에 항상 니가 있다는 믿음 항상 곁에 니가 있어 고마워 난 니가 있어 내겐 니가 있어 지금 나를 지켜봐 줘 고마워 날 지켜 왔던 우리라는 의미 함께 했던 시간들이 소중해 난 약속할게 늘 변함없이 한걸음씩 너와 같이 걸을게 우리 함께 빛나는 그날까지,
방탄소년단,Make It Right,Make It Right (Feat. Lauv),2019,"Fred Gibson,Ed Sheeran,Benjy Gibson,Jo Hill,RM,SUGA,j-hope,Lauv","I was lost, I was tryna find the answer In the world around me I was going crazy All day all night You were the only one who understood me And all that I was going through Yeah I just gotta tell you Oh baby I I could make it better I could hold you tighter Cause through the morning Oh you’re the light And I almost lost ya But I can’t forget ya Cause you were the reason that I survived You were there for me through all the times I cried I was there for you but then I lost my mind I know that I messed up but I promise I Oh oh I can make it right All right All right Oh I can make it right All right All right Oh I can make it right 이 세상 속에 영웅이 된 나 나를 찾는 큰 환호와 내 손, 트로피와 금빛 마이크 All day, everywhere But 모든 게 너에게 닿기 위함인 걸 내 여정의 답인 걸 널 찾기 위해 노래해 Baby to you 전보다 조금 더 커진 키에 좀 더 단단해진 목소리에 모든 건 네게 돌아가기 위해 이제 너라는 지도를 활짝 펼칠게 My rehab 날 봐 왜 못 알아봐 남들의 아우성 따위 나 듣고 싶지 않아 너의 향기는 여전히 나를 꿰뚫어 무너뜨려 되돌아가자 그때로 Baby I know I can make it better I can hold you tighter 그 모든 길은 널 향한 거야 다 소용없었어 너 아닌 다른 건 그때처럼 날 어루만져줘 끝도 보이지 않던 영원의 밤 내게 아침을 선물한 건 너야 이제 그 손 내가 잡아도 될까 Oh oh I can make it right All right All right Oh I can make it right All right All right Oh I can make it right 여전히 아름다운 너 그날의 그때처럼 말없이 그냥 날 안아줘 지옥에서 내가 살아 남은 건 날 위했던 게 아닌 되려 너를 위한 거란 걸 안다면 주저 말고 please save my life 너 없이 헤쳐왔던 사막 위는 목말라 그러니 어서 빨리 날 잡아줘 너 없는 바다는 결국 사막과 같을 거란 걸 알아 All right I can make it better I can hold you tighter Oh I can make it right 다 소용없었어 너 아닌 다른 건 Oh I can make it right All right All right Oh I can make it right",
Halsey & SUGA & BTS,SUGA's Interlude,SUGA's Interlude,2019,,"I’ve been trying all my life to separate the time, in between the having it all and giving it up, yeah 내 머릿속엔 파란색만 가득한 이 방황 자기혐오들과 자만이 내 마음속에 살아 꿈이 가득한 난 자라 모든 꿈을 이뤘건만 꿈은 꿈으로만 간직하는 게 더 낫지라는 생각을 동시에 하며 살아가고 있지 내 도약은 추락이 아니기를 너의 신념 노력 믿음 욕심들은 추악이 아님임을 믿어 해가 뜨기 전 새벽은 무엇보다 어둡지만 네가 바란 별들은 어둠 속에서만 뜬다는 걸 절대 잊지 마 I’ve been trying all my life to separate the time, in between the having it all and giving it up, yeah I wonder what’s in store If I don’t love it anymore I’m stuck between the having it all and giving it up, yeah 가끔은 내가 걷고 있는 게 맞는지 하염없이 터널 끝을 향해 달리면 뭐가 또 있을런지 맞긴 한지 내가 바라던 미래와는 솔직히 다른 거지 상관없지 이제는 생존의 문제 어찌 됐든 상관없지 Yeah yeah 네가 바란 것들과는 다를지 몰라 네가 살아가는 것도 사랑하는 것도 변할지 몰라 That’s true That’s true That’s true Yeah so are you gonna move? 꾸물거리기엔 우린 아직 젊고 어려 부딪혀보자고 So what you gonna do? I’ve been trying all my life to separate the time, in between the having it all and giving it up, yeah I wonder what’s in store If I don’t love it anymore I’m stuck between the having it all and giving it up, yeah",
방탄소년단,MAP OF THE SOUL : 7,Intro : Persona,2020,"Hiss noise,RM,PDOGG","나는 누구인가 평생 물어온 질문 아마 평생 정답은 찾지 못할 그 질문 나란 놈을 고작 말 몇 개로 답할 수 있었다면 신께서 그 수많은 아름다움을 다 만드시진 않았겠지 How you feel? 지금 기분이 어때 사실 난 너무 좋아 근데 조금 불편해 나는 내가 개인지 돼진지 뭔지도 아직 잘 모르겠는데 남들이 와서 진주목걸일 거네 칵 퉤 예전보단 자주 웃어 소원했던 Superhero 이젠 진짜 된 것 같어 근데 갈수록 뭔 말들이 많어 누군 달리라고 누군 멈춰서라 해 얘는 숲을 보라고 걔는 들꽃을 보라 해 내 그림자, 나는 망설임이라 쓰고 불렀네 걘 그게 되고 나서 망설인 적이 없었네 무대 아래든 아님 조명 아래든 자꾸 나타나 아지랑이처럼 뜨겁게 자꾸 날 노려보네 (Oh shit) 야 이 짓을 왜 시작한 건지 벌써 잊었냐 넌 그냥 들어주는 누가 있단 게 막 좋았던 거야 가끔은 그냥 싹 다 헛소리 같아 취하면 나오는 거 알지.. 치기 같아 나 따위가 무슨 music, 나 따위가 무슨 truth 나 따위가 무슨 소명, 나 따위가 무슨 muse 내가 아는 나의 흠 어쩜 그게 사실 내 전부 세상은 사실 아무 관심 없어, 나의 서툼 이제 질리지도 않는 후회들과 매일 밤 징그럽게 뒹굴고 돌릴 길 없는 시간들을 습관처럼 비틀어도 그때마다 날 또 일으켜 세운 것, 최초의 질문 내 이름 석 자 그 가장 앞에 와야 할 But So I’m askin’ once again yeah Who the hell am I? Tell me all your names baby Do you wanna die? Oh do you wanna go? Do you wanna fly? Where’s your soul? where’s your dream? Do you think you’re alive? My name is R 내가 기억하고 사람들이 아는 나 날 토로하기 위해 내가 스스로 만들어낸 나 Yeah 난 날 속여왔을지도 뻥쳐왔을지도 But 부끄럽지 않아 이게 내 영혼의 지도 Dear myself 넌 절대로 너의 온도를 잃지 마 따뜻히도 차갑게도 될 필요 없으니까 가끔은 위선적이어도 위악적이어도 이게 내가 걸어두고 싶은 내 방향의 척도 내가 되고 싶은 나, 사람들이 원하는 나 니가 사랑하는 나, 또 내가 빚어내는 나 웃고 있는 나, 가끔은 울고 있는 나 지금도 매분 매순간 살아 숨쉬는 Persona Who the hell am I I just wanna go I just wanna fly I just wanna give you all the voices till I die I just wanna give you all the shoulders when you cry Persona Who the hell am I I just wanna go I just wanna fly I just wanna give you all the voices till I die I just wanna give you all the shoulders when you cry",
방탄소년단,MAP OF THE SOUL : 7,Interlude : Shadow,2020,"SUGA,GHSTLOOP,EL CAPITXN,PDOGG,RM","I wanna be a rap star I wanna be the top I wanna be a rockstar I want it all mine I wanna be rich I wanna be the king I wanna go win I wanna be ... I wanna be a rap star I wanna be the top I wanna be a rockstar I want it all mine I wanna be rich I wanna be the king I wanna be me I want a big thing Oh boy let me see I got a big dream yeah Woo 매일 설렜지 내가 어디까지 갈지 정신없이 달리다 보니 어느새 여기까지 왔지 Yeah 음 발밑의 그림자 고개 숙여보니 더 커졌잖아 도망쳐봤자 날 따라오는 저 빛과 비례하는 내 그림자 두려워 높게 나는 게 난 무섭지 아무도 말 안 해줬잖아 여기가 얼마나 외로운지 말야 나의 도약은 추락이 될 수 있단 걸 이제야 알겠어 때론 도망이 차선이란 걸 pause 사람들은 뭐 말하지 저 빛 속은 찬란하네 근데 내 그림자는 되려 더 커져 나를 삼켜 괴물이 돼 저 위로 위로 또 위로 위로 만 가다 보니 여긴 어지러워 더 위로 위로만 가네 싫어 나 무사하길 빌어 빌어 나의 바람대로 높게 날고 있는 순간 저 내리쬐는 빛에 더 커진 그림자 Please don’t let me shine Don’t let me down Don’t let me fly 이제는 두려워 가장 밑바닥의 나를 마주하는 순간 공교롭게도 여긴 창공이잖아 Please don’t let me shine Don’t let me down Don’t let me fly 이제는 무서워 Don’t let me shine 웃어봐 뭘 망설여 네가 바라던 게 이런 게 아니었니 울던가 뭐가 두려워 네가 원하던 게 이런 게 아니었니 네가 바란 삶 네가 원한 삶 네가 택한 삶 후회 없이 다 이뤘지 거기에다 너는 big house, big cars, big rings 네가 원한 건 모든 걸 다 가졌지 근데 뭐가 문제야 즐겨 아님 놓던가 싫어? 그럼 달리던가 뭐 멈추던가 한 가지만 하라고 징징대지 말고 알려준 적 없다고? (Yeah yeah) 정말 몰랐었냐고? (Oh no) 네가 가진 만큼만 나는 가져갈게 그게 뭐든지 말야 때론 너의 휴식은 추락이 된단 걸 이제야 알겠니 매번 최선이 최선이란 걸 나의 바람대로 높게 날고 있는 순간 저 내리쬐는 빛에 더 커진 그림자 Please don’t let me shine Don’t let me down Don’t let me fly 이제는 두려워 가장 밑바닥의 나를 마주하는 순간 공교롭게도 여긴 창공이잖아 Please don’t let me shine Don’t let me down Don’t let me fly 이제는 무서워 Don’t let me shine I wanna be a rap star I wanna be the top I wanna be a rockstar I want it all mine I wanna be rich I wanna be the king I wanna go win I wanna be ... I wanna be a rap star I wanna be the top I wanna be a rockstar I want it all mine I wanna be rich I wanna be the king I wanna be me I wanna be ... 그래 나는 너고 너는 나야 이젠 알겠니 그래 너는 나고 나는 너야 이젠 알겠지 우린 한 몸이고 또 때론 부딪히겠지 너는 절대 나를 떼어낼 순 없어 알겠지 Yeah yeah 떼어낼 수 없어 네가 뭐를 하던지 Yeah 인정하는 게 더 편안하겠지 Yeah 성공 혹은 실패 어디 있던지 Yeah 도망칠 수 없어 어딜 가던지 나는 너고 너는 나야 알겠니 너는 나고 나는 너야 알겠니 우린 한 몸이고 부딪히겠지 우린 너고 우린 나야 알겠니",
방탄소년단,MAP OF THE SOUL : 7,Black Swan,2020,"PDOGG,RM,August Rigo,Vince Nantes,Clyde Kelly","Do your thang Do your thang with me now Do your thang Do your thang with me now What's my thang What's my thang tell me now Tell me now Yeah yeah yeah yeah Ayy 심장이 뛰지 않는대 더는 음악을 들을 때 Tryna pull up 시간이 멈춘 듯해 Oh that would be my first death I been always afraid of 이게 나를 더 못 울린다면 내 가슴을 더 떨리게 못 한다면 어쩜 이렇게 한 번 죽겠지 아마 But what if that moment's right now Right now 귓가엔 느린 심장 소리만 bump bump bump 벗어날래도 그 입속으로 jump jump jump 어떤 노래도 와닿지 못해 소리 없는 소릴 질러 모든 빛이 침묵하는 바다 yeah yeah yeah 길 잃은 내 발목을 또 잡아 yeah yeah yeah 어떤 소리도 들리지 않아 yeah yeah yeah Killin' me now Killin' me now Do you hear me yeah 홀린 듯 천천히 가라앉아 nah nah nah 몸부림쳐봐도 사방이 바닥 nah nah 모든 순간들이 영원이 돼 yeah yeah yeah Film it now Film it now Do you hear me yeah Do your thang Do your thang with me now Do your thang Do your thang with me now What's my thang What's my thang tell me now Tell me now Yeah yeah yeah yeah Deeper Yeah I think I'm goin' deeper 자꾸 초점을 잃어 이젠 놓아줘 싫어 차라리 내 발로 갈게 내가 뛰어들어갈게 가장 깊은 곳에서 나는 날 봤어 천천히 난 눈을 떠 여긴 나의 작업실 내 스튜디오 거센 파도 깜깜하게 나를 스쳐도 절대 끌려가지 않을 거야 다시 또 Inside I saw myself, myself 귓가엔 빠른 심장 소리만 bump bump bump 두 눈을 뜨고 나의 숲으로 jump jump jump 그 무엇도 날 삼킬 수 없어 힘껏 나는 소리 질러 모든 빛이 침묵하는 바다 yeah yeah yeah 길 잃은 내 발목을 또 잡아 yeah yeah yeah 어떤 소리도 들리지 않아 yeah yeah yeah Killin' me now Killin' me now Do you hear me yeah 홀린 듯 천천히 가라앉아 nah nah nah 몸부림쳐봐도 사방이 바닥 nah nah 모든 순간들이 영원이 돼 yeah yeah yeah Film it now Film it now Do you hear me yeah Do your thang Do your thang with me now Do your thang Do your thang with me now What's my thang What's my thang tell me now Tell me now Yeah yeah yeah yeah",
방탄소년단,MAP OF THE SOUL : 7,Filter,2020,"Tom Wiklund,Hilda Stenmalm,'Hitman' Bang,이스란,LUTRA,danke (lalala studio),정바비,안복진,폴린딜드 (Fallin' Dild),형광소년",너의 따분한 그 표정 지루한 발끝 Please look at me now 핸드폰은 내려놔 고개 돌릴 생각도 마 Let me know your type 날 골라 쓰면 돼 yeah Oh 너의 눈을 나의 손으로 포개 Oh 다가가 비밀에 널 데려갈게 완전히 새로운 세상에 Yeah 네 감은 눈을 떠봐 이제 go! 팔레트 속 색을 섞어 pick your filter 어떤 나를 원해 너의 세상을 변화시킬 I’m your filter 네 맘에 씌워줘 (OK) 어때 조금 느낌이 와? 아직 모자라? (Yes) Girl you have your chance I can be your Genie How ‘bout Aladdin? 뭐든 돼 줄게 날 골라 쓰면 돼 yeah Oh 네 꿈처럼 널 감싸 안을 거야 Oh 은밀한 spec이야 난 너를 위해 매일 새로울 거야 늘 똑같은 건 재미없잖아 팔레트 속 색을 섞어 pick your filter 어떤 나를 원해 너의 세상을 변화시킬 I’m your filter 네 맘에 씌워줘 불현듯 아이로 변한 날 봐 볼수록 귀여워 미치도록 취향도 기준도 뛰어넘어 넌 오직 나만을 원하게 돼 Yeah 날 만든 사람 바로 너니까 난 여태 네가 본 적 없는 brand new filter 내게 널 맡겨봐 더 짜릿한 걸 볼 수 있게 pick your filter 나만을 담아봐 Na na na na na na na na na Pick your filter 나만을 담아봐 Na na na na na na na na na I’m your filter 내게 널 맡겨봐 새로운 우리가 될 거야 Ay 날 네 맘에 씌워줘,
방탄소년단,MAP OF THE SOUL : 7,시차,2020,"Sleep Deez,RM,Jayrah Gibson,PDOGG,Printz Board,Richelle Alleyne,정국","24 누구보다 더 빨리 어른이 된 것만 같아 My life has been a movie all the time 해 뜨는 곳으로 달렸어 every single night 누구의 내일에 가봤던 것도 같아 온 세상이 너무 컸던 그 소년 Keep on runnin’ errday mic 잡아들어 Friends ridin’ subway, I’ll be in the airplane mode 전 세계를 rock on I made my own lotto But 너무 빠른 건지 놓쳐버린 흔적이 Don't know what to do with Am I livin' this right? 왜 나만 다른 시공간 속인 걸까 Oh I can't call ya I can't hol' ya Oh I can't And yes you know yes you know Oh I can't call ya I can't touch ya Oh I can't Let me know Can I someday finna find my time Finna find my time Someday finna find my time Oh I think I was in yesterday Cuz everybody walk too fast 나도 모르게 커버린 어린 나 (길을 잃어버린 어린아이처럼) This got me oh just trippin’ 서성대는 이 느낌 Don't know what to do with Am I livin' this right? 왜 나만 다른 시공간 속인 걸까 Oh I can't call ya I can't hol' ya Oh I can't And yes you know yes you know Oh I can't call ya I can't touch ya Oh I can't Let me know Can I someday finna find my time Finna find my time Someday finna find my time 때론 나의 숨 막힐 때면 모잘 눌러쓰고 계속 달려 Yeah I don’t gotta know where I go Even if it’s opposite of sun One time for the present Two time for the past Happy that we met each other Now til’ the very end Oh I will call ya I will hol' ya Oh I will And yes you know yes you know Oh I will call ya I will touch ya Oh I will And you know Can I someday finna find my time Can I someday finna find my time Finna find my time Find my time",
